PlantNumber,AccessionID,PlantID,EXPID
106,TAS.2.E2-LING-ME.SQ,24106,BVZ0047
107,TAS.2.F1-LING-NO.CU,24107,BVZ0047
108,TAS.2.F2-LING-NO.CU,24108,BVZ0047
109,TAS.2.G1-LING-PH.AS,24109,BVZ0047
110,TAS.2.G2-LING-PH.AS,24110,BVZ0047
111,TAS.2.H1-LING-PO.AP,24111,BVZ0047
112,TAS.2.H2-LING-PO.AP,24112,BVZ0047
113,TAS.3.A1-LING-AC.ME,24113,BVZ0047
114,TAS.3.A2-LING-AC.ME,24114,BVZ0047
115,TAS.3.B1-LING-AT.MO,24115,BVZ0047
116,TAS.3.B2-LING-AT.MO,24116,BVZ0047
117,TAS.3.C1-LING-EU.OB,24117,BVZ0047
118,TAS.3.C2-LING-EU.OB,24118,BVZ0047
119,TAS.3.D1-LING-EU.LU,24119,BVZ0047
120,TAS.3.D2-LING-EU.LU,24120,BVZ0047
121,TAS.3.E1-LING-ME.SQ,24121,BVZ0047
122,TAS.3.E2-LING-ME.SQ,24122,BVZ0047
123,TAS.3.F1-LING-NO.CU,24123,BVZ0047
124,TAS.3.F2-LING-NO.CU,24124,BVZ0047
125,TAS.3.G1-LING-PH.AS,24125,BVZ0047
126,TAS.3.G2-LING-PH.AS,24126,BVZ0047
127,TAS.3.H1-LING-PO.AP,24127,BVZ0047
128,TAS.3.H2-LING-PO.AP,24128,BVZ0047
129,TAS.4.A1-LING-AC.ME,24129,BVZ0047
130,TAS.4.A2-LING-AC.ME,24130,BVZ0047
131,TAS.4.B1-LING-AT.MO,24131,BVZ0047
132,TAS.4.B2-LING-AT.MO,24132,BVZ0047
133,TAS.4.C1-LING-EU.OB,24133,BVZ0047
134,TAS.4.C2-LING-EU.OB,24134,BVZ0047
135,TAS.4.D1-LING-EU.LU,24135,BVZ0047
136,TAS.4.D2-LING-EU.LU,24136,BVZ0047
137,TAS.4.E1-LING-ME.SQ,24137,BVZ0047
138,TAS.4.E2-LING-ME.SQ,24138,BVZ0047
139,TAS.4.F1-LING-NO.CU,24139,BVZ0047
140,TAS.4.F2-LING-NO.CU,24140,BVZ0047
141,TAS.4.G1-LING-PH.AS,24141,BVZ0047
142,TAS.4.G2-LING-PH.AS,24142,BVZ0047
143,TAS.4.H1-LING-PO.AP,24143,BVZ0047
144,TAS.4.H2-LING-PO.AP,24144,BVZ0047
145,TAS.5.A1-LING-AC.ME,24145,BVZ0047
146,TAS.5.A2-LING-AC.ME,24146,BVZ0047
147,TAS.5.B1-LING-AT.MO,24147,BVZ0047
148,TAS.5.B2-LING-AT.MO,24148,BVZ0047
149,TAS.5.C1-LING-EU.OB,24149,BVZ0047
150,TAS.5.C2-LING-EU.OB,24150,BVZ0047
151,TAS.5.D1-LING-EU.LU,24151,BVZ0047
152,TAS.5.D2-LING-EU.LU,24152,BVZ0047
153,TAS.5.E1-LING-ME.SQ,24153,BVZ0047
154,TAS.5.E2-LING-ME.SQ,24154,BVZ0047
155,TAS.5.F1-LING-NO.CU,24155,BVZ0047
156,TAS.5.F2-LING-NO.CU,24156,BVZ0047
157,TAS.5.G1-LING-PH.AS,24157,BVZ0047
158,TAS.5.G2-LING-PH.AS,24158,BVZ0047
159,TAS.5.H1-LING-PO.AP,24159,BVZ0047
160,TAS.5.H2-LING-PO.AP,24160,BVZ0047
161,NSW.1.A1-LING-AC.PA,24161,BVZ0047
162,NSW.1.A2-LING-AC.PA,24162,BVZ0047
163,NSW.1.B1-LING-EU.AM,24163,BVZ0047
164,NSW.1.B2-LING-EU.AM,24164,BVZ0047
165,NSW.1.C1-LING-EU.FI,24165,BVZ0047
166,NSW.1.C2-LING-EU.FI,24166,BVZ0047
167,NSW.1.D1-LING-EU.MO,24167,BVZ0047
168,NSW.1.D2-LING-EU.MO,24168,BVZ0047
169,NSW.1.E1-LING-ME.TE,24169,BVZ0047
170,NSW.1.E2-LING-ME.TE,24170,BVZ0047
171,NSW.1.F1-LING-HA.SE,24171,BVZ0047
